capacity_bytes,date,failure,model,serial_number,smart_1_raw,smart_12_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_3_normalized,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw
4000787030016,2016-09-17,0,ST4000DM000,S301PV2P,138359768.0,4.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,12912.0,19.0,0.0,0.0,0.0,7685.0,28821618008.0,6094826231.0,96.0,4.0,0.0,319031108.0,7777.0
4000787030016,2016-05-07,1,ST4000DM000,Z300KK9W,212852376.0,13.0,1.0,0.0,6.0,0.0,2.0,26.0,3.0,24595.0,26.0,8.0,8.0,0.0,258531261437610.0,25510361446.0,250932490301.0,91.0,13.0,0.0,577939106.0,22291.0
4000787030016,2016-12-30,0,ST4000DM000,Z3067DSM,123058288.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,540.0,27.0,0.0,0.0,0.0,2620.0,11099691688.0,1658445505.0,96.0,4.0,0.0,43853908.0,2621.0
4000787030016,2016-04-04,0,ST4000DM000,Z3016P93,169668816.0,11.0,0.0,0.0,0.0,0.0,9.0,26.0,2.0,23620.0,26.0,0.0,0.0,0.0,18363.0,28650047249.0,373073548044.0,91.0,11.0,0.0,3929165.0,18438.0
4000787030016,2016-08-29,0,ST4000DM000,Z3029BK5,51357376.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,5750.0,27.0,0.0,0.0,0.0,15033.0,19833542920.0,64984224718.0,97.0,3.0,0.0,658204444.0,15077.0
4000787030016,2016-12-31,0,ST4000DM000,Z3022DKK,89033032.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6393.0,15.0,0.0,0.0,0.0,5009.0,10557360674.0,15824114058.0,97.0,3.0,0.0,179183717.0,5050.0
4000787030016,2016-09-13,0,ST4000DM000,W300AN1M,188107088.0,12.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,11952.0,23.0,0.0,0.0,0.0,26350.0,27229428990.0,144928079174.0,91.0,12.0,0.0,831513506.0,26408.0
4000787030016,2016-08-07,0,ST4000DM000,Z305GW8L,16594800.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3390.0,26.0,0.0,0.0,0.0,4115.0,22381668792.0,4164430511.0,99.0,1.0,0.0,216917828.0,4136.0
4000787030016,2016-04-04,0,ST4000DM000,Z305JSD4,35764768.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,2740.0,25.0,0.0,0.0,0.0,412.0,3776943360.0,325077761.0,96.0,4.0,0.0,19320976.0,455.0
4000787030016,2016-09-28,0,ST4000DM000,Z304HR0B,217261816.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,5230.0,22.0,0.0,0.0,0.0,8497.0,31753696064.0,6616325182.0,93.0,7.0,0.0,358894456.0,8580.0
